no,item_id,block,block_kr,construct,kind,scale,n_opt,n_cells,reverse,tier,context,question,options,keyed,reasoning_t2(C),omr_capture,KC_formal(주석),exp_difficulty(주석),note,status
75,C28,C,개념 이해,개념:change / 주제:phys-chem,misconception,정답선택+확신(1~3),4,2,,,,깎아 둔 사과의 단면이 갈색으로 변했다. 이 변화는?,1) 모양이 안 변했으니 아무 변화도 아니다 [오개념:변화 부정] | 2) 새로운 물질이 생긴 화학 변화다 [★정답] | 3) 단순히 색만 칠해진 것이다 [오개념:표면 현상] | 4) 잘 모르겠다 [모름],2,그렇게 생각한 이유는? :: 1) 자르기만 했으니까 [오개념:물리 오인] | 2) 공기와 반응해 다른 물질이 새로 생겨서 [★정답] | 3) 원래 속이 갈색이라서 [오개념:무관] | 4) 빛 때문에 색이 바래서 [오개념:무관],OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
76,C10,C,개념 이해,개념:change / 주제:gas-mass,misconception,정답선택+확신(1~3),4,2,,,,비어 보이는 공기(예: 풍선 속 공기)도 무게가 있을까?,1) 공기는 무게가 없다 (아무것도 아니니까) [오개념:기체=무] | 2) 아주 작지만 분명히 무게가 있다 [★정답] | 3) 위로 뜨니까 무게가 마이너스다 [오개념:음의 무게] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
77,C29,C,개념 이해,개념:change / 주제:gas-mass,misconception,정답선택+확신(1~3),4,2,,,,똑같은 빈 페트병 두 개 중 하나에만 공기를 잔뜩 압축해 넣었다. 두 병의 무게는?,1) 똑같다 (공기는 무게가 없으니까) [오개념:기체=무] | 2) 공기를 넣은 쪽이 아주 조금 더 무겁다 [★정답] | 3) 공기를 넣은 쪽이 더 가볍다 (공기는 뜨니까) [오개념:음의 무게] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
78,C30,C,개념 이해,개념:change / 주제:melt-dissolve,misconception,정답선택+확신(1~3),4,2,,,,초콜릿이 더운 날 '녹았다.' 그리고 소금이 물에 '녹았다.' 이 두 '녹다'는?,1) 똑같은 현상이다 [오개념:융해=용해] | 2) 서로 다른 현상이다 [★정답] | 3) 둘 다 물이 있어야 일어난다 [오개념:조건 오인] | 4) 잘 모르겠다 [모름],2,"그렇게 생각한 이유는? :: 1) 둘 다 모양이 사라지니까 [오개념:표면 유사] | 2) 초콜릿은 열로 액체가 되고, 소금은 물속에 흩어진 것이라서 [★정답] | 3) 둘 다 사라지는 거라서 [오개념:소멸] | 4) 둘 다 새 물질이 생겨서 [오개념:화학 오인]",OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
79,C31,C,개념 이해,개념:change / 주제:melt-dissolve,misconception,정답선택+확신(1~3),4,2,,,,"얼음이 '녹는' 것과 설탕이 물에 '녹는' 것 중, 물이 꼭 있어야 하는 것은?",1) 둘 다 물이 있어야 한다 [오개념:조건 오인] | 2) 설탕이 녹을 때만 물이 필요하다 [★정답] | 3) 둘 다 물이 없어도 된다 [오개념:용해 부정] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
80,C32,C,개념 이해,개념:change / 주제:melt-dissolve,misconception,정답선택+확신(1~3),4,2,,,,버터가 프라이팬 위에서 '녹았다.' 이것은 어떤 변화에 가까울까?,1) 물에 무언가가 퍼지는 용해다 [오개념:용해 오인] | 2) 열을 받아 고체가 액체가 되는 상태 변화다 [★정답] | 3) 새로운 물질이 생기는 변화다 [오개념:화학 오인] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
81,D-ML1,D,학습 접근,approach,mostleast,최선·최악(각 택1),3,2,,,,(강제선택) 오답 대처,1) 왜 틀렸는지 원리를 다시 따져 본다 [deep] | 2) 비슷한 문제를 여러 개 더 풀어 본다 [surface] | 3) 정답을 정확히 익혀 다음엔 안 틀리게 한다 [accuracy],—,,OMR: 최선+최악 (2칸),,,"셋 다 성실 → 표층 학생도 죄책감 없이 선택, 위계는 살아있음",active
82,D-ML2,D,학습 접근,approach,mostleast,최선·최악(각 택1),3,2,,,,(강제선택) 새 개념 접근,1) 이미 아는 것과 어떻게 연결되는지 생각한다 [deep] | 2) 정의와 공식을 정확히 먼저 외운다 [surface] | 3) 예제 푸는 순서부터 익힌다 [procedural],—,,OMR: 최선+최악 (2칸),,,심층/암기/절차 — 동등바람직,active
83,D-ML3,D,학습 접근,approach,mostleast,최선·최악(각 택1),3,2,,,,(강제선택) 시험 임박 전략,1) 핵심 원리를 한 번 더 이해하려 한다 [deep] | 2) 기출·유형 문제를 최대한 많이 푼다 [surface] | 3) 내가 자주 틀리는 부분을 점검한다 [metacog],—,,OMR: 최선+최악 (2칸),,,심층/문제량/점검 — '문제 많이'가 성실해 보여 표층 위장,active
84,D-ML4,D,학습 접근,approach,mostleast,최선·최악(각 택1),3,2,,,,(강제선택) 학습 만족원,1) ‘왜 그런지’ 비로소 이해됐을 때 [deep] | 2) 계획한 분량을 끝까지 해냈을 때 [metacog] | 3) 문제를 빠르고 정확히 풀었을 때 [surface],—,,OMR: 최선+최악 (2칸),,,이해/완수/속도-정확 — 동기 성향,active
85,D-MC1,D,학습 접근,metacog,ladder,리커트 1~5,5,1,,1,,공부를 시작하기 전에 무엇부터 할지 잠깐 정한다.,1~5 리커트,—,,OMR: 1칸,,,계획 1단(낮은 문턱),active
86,D-MC2,D,학습 접근,metacog,ladder,리커트 1~5,5,1,,2,,공부 중간에 ‘이걸 진짜 이해했나’ 스스로 멈춰 확인할 때가 있다.,1~5 리커트,—,,OMR: 1칸,,,모니터링 2단,active
87,D-MC3,D,학습 접근,metacog,ladder,리커트 1~5,5,1,,3,,"한 방법으로 안 풀리면, 스스로 다른 방법으로 바꿔 시도한다.",1~5 리커트,—,,OMR: 1칸,,,전략 조절 3단,active
88,D-MC4,D,학습 접근,metacog,ladder,리커트 1~5,5,1,,4,,"공부가 끝나면, 무엇을 알고 무엇을 모르는지 따로 적어 정리해 두는 편이다.",1~5 리커트,—,,OMR: 1칸,,,사후 점검 4단(대부분 안 함 → 고문턱·고변별),active
89,D-SC1,D,학습 접근,coping,scenario,택1,4,1,,,,(시나리오) 막힘 대처,1) 해설·답지를 먼저 본다 [lookup] | 2) 더 쉬운 문제로 돌아간다 [detour] | 3) 원리를 다시 읽고 다시 시도한다 [persist] | 4) 잠시 두었다가 나중에 다시 본다 [pause],—,,OMR: 1칸,,,"모두 정상 대처 → 위조 불가, 패턴만 읽음",active
90,D-SC2,D,학습 접근,coping,scenario,택1,4,1,,,,(시나리오) 실수 귀인,1) 다음엔 더 조심하자고 넘어간다 [note] | 2) 왜 실수했는지 패턴을 찾아본다 [analyze] | 3) 비슷한 문제로 다시 연습한다 [drill] | 4) 운이 없었다고 생각한다 [external],—,,OMR: 1칸,,,"analyze=메타, external=외적귀인",active
91,D-SC3,D,학습 접근,coping,scenario,택1,4,1,,,,(시나리오) 미지어 대처,1) 일단 넘기고 진도를 따라간다 [skip] | 2) 그 자리에서 바로 찾아본다 [seek_now] | 3) 표시해 뒀다가 나중에 찾는다 [seek_later] | 4) 선생님이나 친구에게 묻는다 [ask],—,,OMR: 1칸,,,정보 추구 전략 패턴,active
92,V-SD1,V,응답 점검,validity,sd,리커트 1~5,5,1,,,,나는 모르는 화학 내용을 아는 척해 본 적이 한 번도 없다.,1~5 리커트,—,,OMR: 1칸,,,사회적 바람직성 — '한 번도'에 강한 동의=과대 가능,active
93,V-SD2,V,응답 점검,validity,sd,리커트 1~5,5,1,,,,수업 시간에 한 번도 딴생각을 해본 적이 없다.,1~5 리커트,—,,OMR: 1칸,,,사회적 바람직성,active
94,V-OC,V,응답 점검,validity,overclaim,용어 다중표시(표시=1/미표시=2),6,6,,,,(과대주장) 용어 친숙도,1) 증발 [진짜] | 2) 용해 [진짜] | 3) 연소 [진짜] | 4) 응결 [진짜] | 5) 역응결 분해 [★가짜] | 6) 단일가 환원수 [★가짜],—,,OMR: 용어 6칸(표시=1/미표시=2),,,가짜 용어(real:false) 체크 수 = 과대주장 지표. 진짜 용어는 채점 안 함(미학습 무관).,active
95,V-CS1a,V,응답 점검,validity,consistency,리커트 1~5,5,1,,,,화학 공부는 나에게 즐거운 편이다.,1~5 리커트,—,,OMR: 1칸,,,일관성 쌍1(긍),active
96,V-CS1b,V,응답 점검,validity,consistency,리커트 1~5,5,1,예,,,화학 공부는 나에게 따분한 편이다.,1~5 리커트,—,,OMR: 1칸,,,일관성 쌍1(부),active
97,V-CS2a,V,응답 점검,validity,consistency,리커트 1~5,5,1,,,,나는 공부할 때 미리 계획을 세우는 편이다.,1~5 리커트,—,,OMR: 1칸,,,일관성 쌍2(긍),active
98,V-CS2b,V,응답 점검,validity,consistency,리커트 1~5,5,1,예,,,나는 공부할 때 계획 없이 닥치는 대로 하는 편이다.,1~5 리커트,—,,OMR: 1칸,,,일관성 쌍2(부),active
99,V-AT,V,응답 점검,validity,attention,리커트 1~5,5,1,,,,이 문항은 집중 확인용입니다. ‘보통’을 선택해 주세요.,1~5 리커트 (지시정답=3),3,,OMR: 1칸,,,지시 응답 — 오답이면 부주의,active
